Supplementary Table 2. Phase separation probability of all the reviewed human proteins			
Uniprot	Gene	Probability	Type
Q96KF7	SMIM8	0.136	Other
Q309B1	TR16L	0.136	Other
Q495X7	TRI60	0.136	Other
A6NKD2	TSPY2	0.136	Other
Q96N95	ZN396	0.136	Other
Q6ZU45	YA021	0.136	Other
Q9UI25	YP002	0.136	Other
A0A096LP55	A0A096LP55	0.135	Other
Q15904	VAS1	0.135	Other
Q96A05	VATE2	0.135	Other
Q96I13	ABHD8	0.135	Other
Q8N4C0	CI062	0.135	Other
Q96MT4	CF195	0.135	Other
Q6P9G0	CB5D1	0.135	Other
P52757	CHIO	0.135	Other
Q9NTU7	CBLN4	0.135	Other
A8MZ26	EFCB9	0.135	Other
Q6ZUU3	FOXNB	0.135	Other
Q9BWS9	CHID1	0.135	Other
A1L168	CT202	0.135	Other
Q9UK97	FBX9	0.135	Other
P0CJ70	HMN3	0.135	Other
Q5SWX8	ODR4	0.135	Other
Q9NYR9	KBRS2	0.135	Other
Q9BYR6	KRA33	0.135	Other
Q8TD91	MAGC3	0.135	Other
Q9Y3D2	MSRB2	0.135	Other
Q9UFN0	NPS3A	0.135	Other
Q8N0Z8	PUSL1	0.135	Other
P31641	SC6A6	0.135	Other
P10124	SRGN	0.135	Other
Q96L08	SUSD3	0.135	Other
Q9Y275	TN13B	0.135	Other
Q9BVG3	TRI62	0.135	Other
Q5T7W7	TSTD2	0.135	Other
Q9HCK0	ZBT26	0.135	Other
Q49MI3	CERKL	0.134	Other
P41595	5HT2B	0.134	Other
A6NGH8	ANR61	0.134	Other
Q9UHQ4	BAP29	0.134	Other
Q8N4J0	CI041	0.134	Other
Q8IWP9	CC28A	0.134	Other
Q5JTZ5	CI152	0.134	Other
Q96H22	CENPN	0.134	Other
Q96T59	CDRTF	0.134	Other
Q5NE16	CATL3	0.134	Other
Q8N461	FXL16	0.134	Other
P32239	GASR	0.134	Other
Q9BV29	CO057	0.134	Other
Q96GL9	F163A	0.134	Other
Q9H6L5	F134B	0.134	Other
O43427	FIBP	0.134	Other
Q9UKA1	FBXL5	0.134	Other
Q8NCI6	GLBL3	0.134	Other
Q8WWU7	ITLN2	0.134	Other
A6NFX1	MFS2B	0.134	Other
P03886	NU1M	0.134	Other
Q8NFH4	NUP37	0.134	Other
O14718	OPSX	0.134	Other
P23276	KELL	0.134	Other
Q9BT23	LIMD2	0.134	Other
Q96L50	LLR1	0.134	Other
Q8IYD2	KLD8A	0.134	Other
Q8N635	MEIOB	0.134	Other
O60669	MOT2	0.134	Other
Q96HT8	MR1L1	0.134	Other
Q8TDF5	NETO1	0.134	Other
O43924	PDE6D	0.134	Other
Q9NP85	PODO	0.134	Other
A6NC86	PINLY	0.134	Other
A5LHX3	PSB11	0.134	Other
Q9H974	QTRD1	0.134	Other
P50120	RET2	0.134	Other
P0DJI9	SAA2	0.134	Other
Q7L8C5	SYT13	0.134	Other
A6NNY8	UBP27	0.134	Other
P63120	VPK19	0.134	Other
O43759	SNG1	0.133	Other
Q86UE6	LRRT1	0.133	Other
Q96DM3	MIC1	0.133	Other
Q14296	FASTK	0.133	Other
Q05901	ACHB3	0.133	Other
P59052	B3AS1	0.133	Other
Q9UBX8	B4GT6	0.133	Other
P60827	C1QT8	0.133	Other
Q6PIY5	CA228	0.133	Other
Q5MAI5	CDKL4	0.133	Other
O43323	DHH	0.133	Other
A6ZKI3	F127A	0.133	Other
O75344	FKBP6	0.133	Other
P38567	HYALP	0.133	Other
Q92902	HPS1	0.133	Other
Q9NQG7	HPS4	0.133	Other
Q6NXR0	IIGP5	0.133	Other
Q9UHM6	OPN4	0.133	Other
Q6TGC4	PADI6	0.133	Other
Q9Y236	OSGI2	0.133	Other
Q8IY47	KBTB2	0.133	Other
Q6XYB7	LBX2	0.133	Other
Q5XG99	LYSM4	0.133	Other
Q2I0M4	LRC26	0.133	Other
Q9HBL8	NMRL1	0.133	Other
Q9H720	PG2IP	0.133	Other
O96001	PPR17	0.133	Other
D3DTV9	PRAC2	0.133	Other
P26022	PTX3	0.133	Other
P51157	RAB28	0.133	Other
Q6AI14	SL9A4	0.133	Other
Q9H6Y7	RN167	0.133	Other
Q96K37	S35E1	0.133	Other
Q6YBV0	S36A4	0.133	Other
Q96AW1	VOPP1	0.133	Other
B2RUY7	VWC2L	0.133	Other
Q8N6M9	ZFN2A	0.133	Other
Q9NV31	IMP3	0.132	Other
Q8TD22	SFXN5	0.132	Other
Q9UMS0	NFU1	0.132	Other
Q13946	PDE7A	0.132	Other
Q8IYM9	TRI22	0.132	Other
P43681	ACHA4	0.132	Other
Q86WK7	AMGO3	0.132	Other
P07307	ASGR2	0.132	Other
Q8WZ55	BSND	0.132	Other
Q9BUK0	CHCH7	0.132	Other
Q9NRJ2	GSAS1	0.132	Other
P43080	GUC1A	0.132	Other
Q8NA66	CNBD1	0.132	Other
O60443	DFNA5	0.132	Other
Q92935	EXTL1	0.132	Other
Q17RB0	F127C	0.132	Other
Q9BVA6	FICD	0.132	Other
O00144	FZD9	0.132	Other
Q86X24	HORM1	0.132	Other
Q96M98	PACRG	0.132	Other
P48549	KCNJ3	0.132	Other
Q5JUW0	KRBX4	0.132	Other
Q6UWP7	LCLT1	0.132	Other
Q8NG48	LINES	0.132	Other
Q6UYE1	LEU7	0.132	Other
Q8WVP7	LMBR1	0.132	Other
Q9P2M1	LR2BP	0.132	Other
Q9HB07	MYG1	0.132	Other
F8WFD2	NPIA3	0.132	Other
Q9BRP1	PDD2L	0.132	Other
P55058	PLTP	0.132	Other
P61587	RND3	0.132	Other
Q9Y289	SC5A6	0.132	Other
O94768	ST17B	0.132	Other
Q8WWF3	SSMM1	0.132	Other
Q15526	SURF1	0.132	Other
P0CI26	TR49C	0.132	Other
P17752	TPH1	0.132	Other
O60637	TSN3	0.132	Other
O75631	UPK3A	0.132	Other
Q9P1U0	RPA12	0.131	Other
Q5J8M3	EMC4	0.131	Other
Q96JD6	AKCL2	0.131	Other
P00746	CFAD	0.131	Other
Q8NER5	ACV1C	0.131	Other
P06280	AGAL	0.131	Other
Q9BY15	EMR3	0.131	Other
Q9BWW9	APOL5	0.131	Other
Q9BXJ1	C1QT1	0.131	Other
Q5NDL2	EOGT	0.131	Other
Q5T197	DCST1	0.131	Other
P28562	DUS1	0.131	Other
P50135	HNMT	0.131	Other
P61925	IPKA	0.131	Other
O43462	MBTP2	0.131	Other
Q9ULW8	PADI3	0.131	Other
Q8IZ02	LRC34	0.131	Other
P36021	MOT8	0.131	Other
Q5TF39	NAGT1	0.131	Other
Q9UHQ1	NARF	0.131	Other
Q14761	PTCA	0.131	Other
Q9NSC7	SIA7A	0.131	Other
Q9NRX5	SERC1	0.131	Other
O15127	SCAM2	0.131	Other
Q6ZSC3	RBM43	0.131	Other
Q5VZM2	RRAGB	0.131	Other
P48995	TRPC1	0.131	Other
Q8NAQ8	YP023	0.131	Other
O95389	WISP3	0.131	Other
O60844	ZG16	0.131	Other
Q86Y37	CACL1	0.13	Other
Q9UJ72	ANX10	0.13	Other
Q6NVY1	HIBCH	0.13	Other
Q8IUW3	SPA2L	0.13	Other
Q12908	NTCP2	0.13	Other
Q6ZTW0	TPGS1	0.13	Other
Q9P0I2	EMC3	0.13	Other
P09093	CEL3A	0.13	Other
Q8IW92	GLBL2	0.13	Other
P57764	GSDMD	0.13	Other
P11511	CP19A	0.13	Other
Q9H1X3	DJC25	0.13	Other
Q7RTS9	DYM	0.13	Other
Q86SG4	DPCA2	0.13	Other
Q8TAL6	FIBIN	0.13	Other
Q99518	FMO2	0.13	Other
P35754	GLRX1	0.13	Other
P23415	GLRA1	0.13	Other
Q15528	MED22	0.13	Other
Q8NDY4	MDS2	0.13	Other
Q9Y6A1	POMT1	0.13	Other
A8MTI9	PRS47	0.13	Other
Q13637	RAB32	0.13	Other
Q8WVK7	SKA2	0.13	Other
Q8NBN7	RDH13	0.13	Other
O95238	SPDEF	0.13	Other
Q92959	SO2A1	0.13	Other
O95455	TGDS	0.13	Other
Q5GJ75	TP8L3	0.13	Other
Q7Z403	TMC6	0.13	Other
Q9Y5U5	TNR18	0.13	Other
Q6P5X7	TMM71	0.13	Other
Q5GH72	XKR7	0.13	Other
Q9GZV9	FGF23	0.129	Other
Q96PC2	IP6K3	0.129	Other
P56589	PEX3	0.129	Other
P55087	AQP4	0.129	Other
Q9H9S4	CB39L	0.129	Other
Q8NFM4	ADCY4	0.129	Other
P34820	BMP8B	0.129	Other
Q15131	CDK10	0.129	Other
Q9H7B7	CG069	0.129	Other
Q9NZK5	CECR1	0.129	Other
Q14002	CEAM7	0.129	Other
O14764	GBRD	0.129	Other
Q3KPI0	CEA21	0.129	Other
Q9HB55	CP343	0.129	Other
P33947	ERD22	0.129	Other
Q6IPR1	LYRM5	0.129	Other
A8MPY1	GBRR3	0.129	Other
Q2M1V0	ISX	0.129	Other
P06312	KV401	0.129	Other
O95461	LARGE	0.129	Other
P0DM35	M1BL1	0.129	Other
Q6IQ20	NAPEP	0.129	Other
P48645	NMU	0.129	Other
P40261	NNMT	0.129	Other
A3QJZ7	A3QJZ7	0.129	Other
Q6ZMC9	SIG15	0.129	Other
Q9UJC5	SH3L2	0.129	Other
Q9H0W7	THAP2	0.129	Other
A6NGB7	TM221	0.129	Other
Q6PF06	TM10B	0.129	Other
Q8IUR0	TPPC5	0.129	Other
Q96PP4	TSG13	0.129	Other
P32241	VIPR1	0.129	Other
Q14508	WFDC2	0.129	Other
Q9UJT0	TBE	0.128	Other
O75830	SPI2	0.128	Other
Q7Z7K0	COXM1	0.128	Other
O15254	ACOX3	0.128	Other
Q86XS5	ANGL5	0.128	Other
A1A5B4	ANO9	0.128	Other
Q13520	AQP6	0.128	Other
Q96DR5	BPIA2	0.128	Other
Q9C0B6	BRNP2	0.128	Other
Q5I0X4	CF226	0.128	Other
Q99645	EPYC	0.128	Other
O43716	GATC	0.128	Other
Q9NQ84	GPC5C	0.128	Other
Q5EBM0	CMPK2	0.128	Other
Q8WVH0	CPLX3	0.128	Other
Q8N123	CPXCR	0.128	Other
Q8IUN9	CLC10	0.128	Other
B2RV13	CQ105	0.128	Other
Q9H5Z6	F124B	0.128	Other
Q96K12	FACR2	0.128	Other
P06734	FCER2	0.128	Other
P49356	FNTB	0.128	Other
Q92915	FGF14	0.128	Other
Q8N3T1	GLT15	0.128	Other
Q08334	I10R2	0.128	Other
Q9BYR7	KRA32	0.128	Other
Q2VYF4	LETM2	0.128	Other
Q3LI76	KR151	0.128	Other
Q9BS40	LXN	0.128	Other
Q86UY6	NAA40	0.128	Other
Q12980	NPRL3	0.128	Other
P20783	NTF3	0.128	Other
Q9NV79	PCMD2	0.128	Other
A6NDG6	PGP	0.128	Other
P20472	PRVA	0.128	Other
O94810	RGS11	0.128	Other
A0AV02	S12A8	0.128	Other
Q6PIV7	S2534	0.128	Other
Q99808	S29A1	0.128	Other
Q5QJ74	TBCEL	0.128	Other
Q9GZU3	TM39B	0.128	Other
O00300	TR11B	0.128	Other
Q9BZA0	TTY10	0.128	Other
Q9HC57	WFDC1	0.128	Other
Q16772	GSTA3	0.127	Other
Q9BUU2	MET22	0.127	Other
Q9BX68	HINT2	0.127	Other
Q8N0T1	CH059	0.127	Other
P23582	ANFC	0.127	Other
P02654	APOC1	0.127	Other
Q8NDY3	ARHL1	0.127	Other
P56539	CAV3	0.127	Other
P42081	CD86	0.127	Other
P0C5K6	CT18	0.127	Other
Q9UJA9	ENPP5	0.127	Other
Q9H5F2	CK001	0.127	Other
Q8NCU1	CN048	0.127	Other
Q9BSU1	CP070	0.127	Other
O95476	CNEP1	0.127	Other
Q8WZ79	DNS2B	0.127	Other
Q8NEZ5	FBX22	0.127	Other
Q6P9A2	GLT18	0.127	Other
P01569	IFNA5	0.127	Other
Q9UKG9	OCTC	0.127	Other
Q9NRN5	OLFL3	0.127	Other
Q9H9V9	JMJD4	0.127	Other
P59991	KR122	0.127	Other
P0C5Y4	KRA14	0.127	Other
Q8NAA5	LR75A	0.127	Other
Q9NUN5	LMBD1	0.127	Other
Q9HD34	LYRM4	0.127	Other
Q8WXC6	MYOV2	0.127	Other
Q86YL7	PDPN	0.127	Other
Q96S21	RB40C	0.127	Other
Q96MT1	RN145	0.127	Other
Q9NXL6	SIDT1	0.127	Other
P51688	SPHM	0.127	Other
Q7Z7H5	TMED4	0.127	Other
Q6ICL3	TNG2	0.127	Other
P83876	TXN4A	0.127	Other
C9J7I0	UMAD1	0.127	Other
Q9HBG4	VPP4	0.127	Other
O95388	WISP1	0.127	Other
Q6ZUG5	YC006	0.127	Other
Q401N2	ZACN	0.127	Other
Q9H0A6	RNF32	0.126	Other
O75695	XRP2	0.126	Other
O14717	TRDMT	0.126	Other
Q96CM3	RUSD4	0.126	Other
Q4LEZ3	AARD	0.126	Other
Q30167	2B1A	0.126	Other
Q719I0	AHSA2	0.126	Other
A8MX76	CAN14	0.126	Other
P25774	CATS	0.126	Other
P46092	CCR10	0.126	Other
Q86T23	CROL1	0.126	Other
Q6PCB8	EMB	0.126	Other
Q9Y2S2	CRYL1	0.126	Other
Q8NCS7	CTL5	0.126	Other
Q5T1A1	DCST2	0.126	Other
Q9H4B8	DPEP3	0.126	Other
Q6UXD1	HRCT1	0.126	Other
Q9Y5Q6	INSL5	0.126	Other
Q9Y366	IFT52	0.126	Other
Q9NYZ2	MFRN1	0.126	Other
Q9H1M0	N62CL	0.126	Other
Q9H841	NPAL2	0.126	Other
Q8N130	NPT2C	0.126	Other
Q86VD9	PIGZ	0.126	Other
Q86T96	RN180	0.126	Other
Q8NBS3	S4A11	0.126	Other
Q9HAB3	S52A2	0.126	Other
Q8TBG9	SYNPR	0.126	Other
Q5T4D3	TMTC4	0.126	Other
Q9BU02	THTPA	0.126	Other
Q9Y577	TRI17	0.126	Other
Q5T2D2	TRML2	0.126	Other
Q8N0Z9	VSI10	0.126	Other
A8MUN3	YQ048	0.126	Other
Q9NZ45	CISD1	0.125	Other
Q9UJT1	TBD	0.125	Other
Q8TAA5	GRPE2	0.125	Other
A6NGN9	IGLO5	0.125	Other
Q92759	TF2H4	0.125	Other
O15033	AREL1	0.125	Other
Q7Z692	CEA19	0.125	Other
O75084	FZD7	0.125	Other
Q5T4B2	GT253	0.125	Other
P10635	CP2D6	0.125	Other
O15528	CP27B	0.125	Other
Q9NWS6	F118A	0.125	Other
O75409	HYPM	0.125	Other
Q9NYS0	KBRS1	0.125	Other
P01602	KV110	0.125	Other
P60328	KR123	0.125	Other
O75829	LECT1	0.125	Other
Q9BYS8	LRRC2	0.125	Other
Q3V5L5	MGT5B	0.125	Other
O76038	SEGN	0.125	Other
Q69383	REC6	0.125	Other
Q92546	RGP1	0.125	Other
Q6NT16	S18B1	0.125	Other
Q8NG04	S2610	0.125	Other
Q9H2V7	SPNS1	0.125	Other
A6NJR5	SPDL3	0.125	Other
Q58G82	SY14L	0.125	Other
P0DI81	TPC2A	0.125	Other
Q3SY77	UD3A2	0.125	Other
Q6Q795	VBPC1	0.125	Other
P49767	VEGFC	0.125	Other
Q96N03	VTM2L	0.125	Other
Q8NAT1	PMGT2	0.124	Other
O94766	B3GA3	0.124	Other
P51857	AK1D1	0.124	Other
Q9Y615	ACL7A	0.124	Other
P54922	ADPRH	0.124	Other
Q8TDX5	ACMSD	0.124	Other
Q53RT3	APRV1	0.124	Other
Q9H1Z8	AUGN	0.124	Other
P22003	BMP5	0.124	Other
Q16880	CGT	0.124	Other
Q658K8	EF1DL	0.124	Other
O60755	GALR3	0.124	Other
Q99525	H4G	0.124	Other
Q8NCH0	CHSTE	0.124	Other
Q8WW14	CJ082	0.124	Other
O00230	CORT	0.124	Other
P05093	CP17A	0.124	Other
O43246	CTR4	0.124	Other
Q9BPX1	DHB14	0.124	Other
O14972	DSCR3	0.124	Other
Q8NBI3	DRAXI	0.124	Other
P02724	GLPA	0.124	Other
C9JCN9	HSBPL	0.124	Other
O43820	HYAL3	0.124	Other
Q9H2X8	I27L2	0.124	Other
P49441	INPP	0.124	Other
Q9H008	LHPP	0.124	Other
Q7Z3D4	LYSM3	0.124	Other
Q9H6Q4	NARFL	0.124	Other
Q5VWM5	PRAM9	0.124	Other
Q9NWS8	RMND1	0.124	Other
Q9H015	S22A4	0.124	Other
P51168	SCNNB	0.124	Other
Q9UJQ7	SCP2D	0.124	Other
Q9H190	SDCB2	0.124	Other
Q7Z4S9	SH2D6	0.124	Other
A6NNV3	SPDL2	0.124	Other
Q71RG4	TMUB2	0.124	Other
P98066	TSG6	0.124	Other
Q86XW9	TXND6	0.124	Other
Q16572	VACHT	0.124	Other
Q8IUX4	ABC3F	0.123	Other
Q9BYD9	ACTT3	0.123	Other
Q00532	CDKL1	0.123	Other
Q8WY07	CTR3	0.123	Other
Q8N999	CL029	0.123	Other
Q9H8X3	CF208	0.123	Other
Q9NVQ4	FAIM1	0.123	Other
P0C2W1	FBSP1	0.123	Other
Q99795	GPA33	0.123	Other
O14649	KCNK3	0.123	Other
Q9BYR8	KRA31	0.123	Other
Q9P2E8	MARH4	0.123	Other
Q8TD46	MO2R1	0.123	Other
Q6UWF7	NXPE4	0.123	Other
Q9NRY7	PLS2	0.123	Other
Q8IXY8	PPIL6	0.123	Other
P11117	PPAL	0.123	Other
Q8N2H3	PYRD2	0.123	Other
Q96A58	RERG	0.123	Other
P61575	RECK8	0.123	Other
P12271	RLBP1	0.123	Other
Q7Z2W9	RM21	0.123	Other
Q96NL0	RUN3B	0.123	Other
O00337	S28A1	0.123	Other
Q6ICB4	SESQ2	0.123	Other
Q4ZJI4	SL9B1	0.123	Other
Q8NE28	STKL1	0.123	Other
Q9Y4P9	SPEF1	0.123	Other
Q9UBI4	STML1	0.123	Other
Q96GW9	SYMM	0.123	Other
Q8NBV8	SYT8	0.123	Other
Q2M3C6	CO027	0.123	Other
Q8NDY8	TMM52	0.123	Other
Q9UI72	YE014	0.123	Other
Q7Z5U6	WDR53	0.123	Other
P41221	WNT5A	0.123	Other
Q96L58	B3GT6	0.122	Other
Q8NC69	KCTD6	0.122	Other
Q9BVC6	TM109	0.122	Other
O95897	NOE2	0.122	Other
Q15041	AR6P1	0.122	Other
P02656	APOC3	0.122	Other
Q9UBV7	B4GT7	0.122	Other
A4D250	BLACE	0.122	Other
Q6V702	CD022	0.122	Other
Q8N2Z9	CENPS	0.122	Other
Q9P109	GCNT4	0.122	Other
Q9NQ89	CL004	0.122	Other
Q96KT6	CH014	0.122	Other
P54108	CRIS3	0.122	Other
P21728	DRD1	0.122	Other
Q9NQ30	ESM1	0.122	Other
Q8TC84	FANK1	0.122	Other
Q8NFU4	FDSCP	0.122	Other
Q9UKT8	FBXW2	0.122	Other
O95073	FSBP	0.122	Other
Q9Y251	HPSE	0.122	Other
P01767	HV306	0.122	Other
O15225	INE1	0.122	Other
Q16322	KCA10	0.122	Other
P48051	KCNJ6	0.122	Other
Q3LHN1	KR213	0.122	Other
Q9BRA0	LSMD1	0.122	Other
Q96BY2	MOAP1	0.122	Other
Q8N699	MYCT1	0.122	Other
Q9NPJ8	NXT2	0.122	Other
Q96DD7	SHSA4	0.122	Other
Q96S79	RSLAB	0.122	Other
Q8N4L4	SPEM1	0.122	Other
Q9UFV1	TBC29	0.122	Other
Q9H2S6	TNMD	0.122	Other
P52758	UK114	0.122	Other
Q9NY84	VNN3	0.122	Other
P61970	NTF2	0.121	Other
Q96HU8	DIRA2	0.121	Other
A6NL99	AQP73	0.121	Other
P00846	ATP6	0.121	Other
Q5SVJ3	CA100	0.121	Other
P12645	BMP3	0.121	Other
Q96LM5	CD045	0.121	Other
P56159	GFRA1	0.121	Other
P07492	GRP	0.121	Other
Q8N9H6	CH031	0.121	Other
P33261	CP2CJ	0.121	Other
P05181	CP2E1	0.121	Other
P22680	CP7A1	0.121	Other
Q0VDD5	CQ091	0.121	Other
Q9NX38	F206A	0.121	Other
P01584	IL1B	0.121	Other
Q9NZ38	IDAS1	0.121	Other
Q9Y4U1	MMAC	0.121	Other
Q8IWD5	MFS6L	0.121	Other
Q9UBM4	OPT	0.121	Other
Q9P272	K1456	0.121	Other
Q8NC54	KCT2	0.121	Other
P34949	MPI	0.121	Other
Q9BRX5	PSF3	0.121	Other
Q5VXH4	PRAM6	0.121	Other
Q08648	SG11B	0.121	Other
Q9BX95	SGPP1	0.121	Other
Q7Z3Z2	RD3	0.121	Other
Q9Y3P4	RHBD3	0.121	Other
P02743	SAMP	0.121	Other
Q9NX18	SDHF2	0.121	Other
Q8WU08	ST32A	0.121	Other
Q96L94	SNX22	0.121	Other
Q9NY57	ST32B	0.121	Other
O76061	STC2	0.121	Other
Q9NRH1	YAED1	0.121	Other
Q6ZVU0	YK022	0.121	Other
Q969L4	LSM10	0.12	Other
P27449	VATL	0.12	Other
A0A0A6YYL6	RPL17	0.12	Other
UBE2V2	NA	0.12	Other
L7N2F9	NA	0.12	Other
O94760	DDAH1	0.12	Other
A0A0B4J2E5	NA	0.12	Other
Q9Y316	MEMO1	0.12	Other
A0A3B3IRV3	NA	0.12	Other
A0A1W2PQS6	NA	0.12	Other
Q9UHK6	AMACR	0.12	Other
O43315	AQP9	0.12	Other
Q9Y587	AP4S1	0.12	Other
Q075Z2	BSPH1	0.12	Other
P43234	CATO	0.12	Other
Q9H2H0	CXXC4	0.12	Other
Q5VU92	DC121	0.12	Other
P22352	GPX3	0.12	Other
Q53EU6	GPAT3	0.12	Other
Q8NCR3	CK065	0.12	Other
Q9HAI6	CX021	0.12	Other
Q5SXM8	DNLZ	0.12	Other
Q8N8Q3	ENDOV	0.12	Other
Q3ZCQ3	F174B	0.12	Other
A6H8Z2	F221B	0.12	Other
Q16394	EXT1	0.12	Other
Q7L5A8	FA2H	0.12	Other
Q96CD0	FBXL8	0.12	Other
Q9Y573	IPP	0.12	Other
P26572	MGAT1	0.12	Other
Q9NRJ5	PAPOB	0.12	Other
Q6PK18	OGFD3	0.12	Other
Q8WVF1	OSCP1	0.12	Other
Q06136	KDSR	0.12	Other
A6NCF5	KLH33	0.12	Other
A1L3X4	MT1DP	0.12	Other
O95522	PRA12	0.12	Other
Q7RTY9	PRS41	0.12	Other
P10619	PPGB	0.12	Other
Q6UWB4	PRS55	0.12	Other
Q96JF0	SIAT2	0.12	Other
Q9UBK7	RBL2A	0.12	Other
Q7L523	RRAGA	0.12	Other
Q695T7	S6A19	0.12	Other
Q9BSG5	RTBDN	0.12	Other
Q9BX79	STRA6	0.12	Other
Q9UL52	TM11E	0.12	Other
Q8N8V8	TM105	0.12	Other
Q8N584	TT39C	0.12	Other
P17643	TYRP1	0.12	Other
Q969M7	UBE2F	0.12	Other
Q6IQ16	SPOPL	0.119	Other
O15540	FABP7	0.119	Other
P21453	S1PR1	0.119	Other
Q8NEB7	ACRBP	0.119	Other
P20848	A1ATR	0.119	Other
Q2TB18	ASTE1	0.119	Other
Q6ZW61	BBS12	0.119	Other
Q9UI42	CBPA4	0.119	Other
Q9H1R2	DUS15	0.119	Other
Q99928	GBRG3	0.119	Other
Q9BY60	GBRL3	0.119	Other
Q9UPC5	GPR34	0.119	Other
A6NFD8	HELT	0.119	Other
P22732	GTR5	0.119	Other
Q5T681	CJ062	0.119	Other
Q52M58	CN177	0.119	Other
Q8WWI5	CTL1	0.119	Other
Q9UHN1	DPOG2	0.119	Other
Q96A26	F162A	0.119	Other
P57775	FBXW4	0.119	Other
A8MWK0	FS2P1	0.119	Other
Q02108	GCYA3	0.119	Other
Q8IVG9	HUNIN	0.119	Other
Q3MIP1	IPIL2	0.119	Other
Q9H4B0	OSGP2	0.119	Other
P54368	OAZ1	0.119	Other
P61366	OSTN	0.119	Other
Q3ZCT8	KBTBC	0.119	Other
Q68D85	NR3L1	0.119	Other
Q7Z5A4	PRS42	0.119	Other
Q9Y272	RASD1	0.119	Other
Q3MIT2	PUS10	0.119	Other
O00237	RN103	0.119	Other
Q9HAT0	ROP1A	0.119	Other
Q96G75	RMD5B	0.119	Other
P20366	TKN1	0.119	Other
Q9NRS4	TMPS4	0.119	Other
Q8N6T0	CK080	0.119	Other
Q9H1D0	TRPV6	0.119	Other
Q8N2C9	UMAS1	0.119	Other
Q9UM01	YLAT1	0.119	Other
Q9HAA7	YG046	0.119	Other
Q6UXV3	YV010	0.119	Other
Q96MP5	ZSWM3	0.119	Other
Q6UB28	MAP12	0.118	Other
O00628	PEX7	0.118	Other
Q9Y4Y9	LSM5	0.118	Other
Q8TAQ9	SUN3	0.118	Other
Q07001	ACHD	0.118	Other
Q9BZ19	ANR60	0.118	Other
Q9H2M3	BHMT2	0.118	Other
Q76B58	BRNP3	0.118	Other
Q6P1S2	CC033	0.118	Other
Q96IM9	DYDC2	0.118	Other
Q9HCL2	GPAT1	0.118	Other
O15544	GR6	0.118	Other
Q6NT52	CGB2	0.118	Other
P78560	CRADD	0.118	Other
P56555	DSCR4	0.118	Other
P19957	ELAF	0.118	Other
Q8N2R8	FA43A	0.118	Other
Q14728	MFS10	0.118	Other
Q8IZS5	OFCC1	0.118	Other
Q68EN5	K895L	0.118	Other
Q6P2M8	KCC1B	0.118	Other
Q53H82	LACB2	0.118	Other
Q96CX6	LRC58	0.118	Other
Q5JPI9	MET10	0.118	Other
Q29983	MICA	0.118	Other
Q8N987	NECA1	0.118	Other
Q9Y5X4	NR2E3	0.118	Other
Q96FC7	PHIPL	0.118	Other
Q9P1W9	PIM2	0.118	Other
Q03393	PTPS	0.118	Other
Q8TEV8	SMCR5	0.118	Other
A0PJX4	SHSA3	0.118	Other
Q9UL26	RB22A	0.118	Other
Q9H0X6	RN208	0.118	Other
Q8N6R1	SERP2	0.118	Other
Q9NX45	SOLH2	0.118	Other
Q9BVH7	SIA7E	0.118	Other
Q6PIZ9	TRAT1	0.118	Other
C9J1S8	T49D1	0.118	Other
Q75L30	YG027	0.118	Other
O15537	XLRS1	0.118	Other
Q9Y2Y1	RPC10	0.117	Other
Q13686	ALKB1	0.117	Other
P0C7Q2	ARMS2	0.117	Other
Q9H672	ASB7	0.117	Other
P15538	C11B1	0.117	Other
Q1T7F1	CCB42	0.117	Other
Q9BWV3	CDAC1	0.117	Other
O95567	CV031	0.117	Other
Q9H469	FXL15	0.117	Other
A2A2Y4	FRMD3	0.117	Other
Q8N6U8	GP161	0.117	Other
P08861	CEL3B	0.117	Other
Q5VZT2	CJ113	0.117	Other
P0DN86	NA	0.117	Other
Q5JTJ3	COA6	0.117	Other
Q02318	CP27A	0.117	Other
P0C5K7	CT62	0.117	Other
Q9BTV6	DPH7	0.117	Other
P05230	FGF1	0.117	Other
Q64ET8	FRG2	0.117	Other
Q8WWQ2	HPSE2	0.117	Other
Q01344	IL5RA	0.117	Other
Q9UJ96	KCNG2	0.117	Other
Q92952	KCNN1	0.117	Other
Q68G74	LHX8	0.117	Other
Q96AQ8	MCUR1	0.117	Other
Q538Z0	LUZP6	0.117	Other
P43361	MAGA8	0.117	Other
Q9H6Q3	SLAP2	0.117	Other
P78330	SERB	0.117	Other
P61571	REC21	0.117	Other
Q96FL8	S47A1	0.117	Other
Q9NWF4	S52A1	0.117	Other
Q9GZN6	S6A16	0.117	Other
Q6P9G4	TM154	0.117	Other
P0CI25	TRI49	0.117	Other
Q9UHU1	YK039	0.117	Other
Q9Y5P6	GMPPB	0.116	Other
Q13888	TF2H2	0.116	Other
Q8WY22	BRI3B	0.116	Other
P13716	HEM2	0.116	Other
Q2KHN1	RN151	0.116	Other
Q5VVH2	NA	0.116	Other
Q9NX46	ARHL2	0.116	Other
P02655	APOC2	0.116	Other
Q8N4L8	CCD24	0.116	Other
Q08722	CD47	0.116	Other
Q9UK00	CC018	0.116	Other
Q8TDX6	CGAT1	0.116	Other
Q5TBE3	CI153	0.116	Other
Q9UJ42	GP160	0.116	Other
O15551	CLD3	0.116	Other
Q8N812	CL076	0.116	Other
